#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,sigma_per,K1,K2
"    1P/Halley",49400,0.585978111516909,0.967142908462304,162.262690579161,111.3324851045177,58.42008097656843,19860205.8953171,"JPL J863/77",Y,5.5,13.6,11.0,14.9x8.2,0.04,,75.3158906863411,.0637815,9.0034E-5,8.0,5.0
"    2P/Encke",57259,.3359613533387664,.8483348040061899,11.78138694229308,186.5467768254318,334.5677859036201,20170310.0308474,"JPL K204/16",Y,15.5,,4.8,,0.046,11.083,3.29695704817336,.173044,1.5323E-5,4.5,
"    4P/Faye",54741,1.665437770212915,.5668940459893967,9.036435362587889,204.9618174865947,199.2896417045127,20061115.4681046,"JPL K213/5",,11.1,,3.54,,,,7.54066392942124,.678455,.00013504,9.25,
"    6P/d'Arrest",57200,1.361453922792728,.6114221774897347,19.48170781222771,178.1149265841586,138.9337024641629,20150302.4169607,"JPL K215/6",,15.7,,3.2,,,,6.55836537738674,.348287,.00045351,9.75,
"    7P/Pons-Winnecke",56348,1.248604799037934,.6357900469235589,22.33574436487844,172.2418392202637,93.43192820685557,20150131.2926586,"JPL 16",Y,15.9,,5.2,,,,6.347723294789,.236365,1.0857E-5,5.,
"    8P/Tuttle",54519,1.027131400121467,.8198402401789815,54.98283549253973,207.506391652593,270.341485330771,20080127.0225076,"JPL K215/13",Y,14.9,,4.5,,,,13.6132092493444,.0957153,.0086655,4.5,
"    9P/Tempel 1",57722,1.542572978351424,.509588468064943,10.47400282151021,179.2123960149718,68.74889841631139,20160802.5908756,"JPL K224/7",,12.3,14.6,6.0,7.6x4.9,0.05,40.7,5.57873549234425,.527142,.0019532,10.25,5.
"   10P/Tempel 2",55905,1.421786240562419,.5362620126476956,12.02437843282116,195.6042140709295,117.8020084450762,20100704.7687995,"JPL K214/19",,13.8,,10.6,,0.022,8.93,5.36847152029154,.412505,4.5637E-5,6.,
"   11P/Tempel-Swift-LINEAR",58782,1.389752619959597,.5774403918911596,14.43689229260524,167.7584807340938,238.9908765179936,20201125.9975778,"JPL K204/9",,15.3,18.6,,,,,5.96461591241717,.403286,.00030795,19.5,5.
"   12P/Pons-Brooks",39405,.7780186522514184,.9542202409863804,74.7037493144222,199.0936340963835,255.9595132752626,19540523.1759312,"JPL 16",Y,5.,11.,,,,,70.0620696485467,.183538,.0041697,15.0,10.0
"   13P/Olbers",35760,1.17845061442612,0.930297147462082,44.609885733805,64.64120651677283,86.10312835462277,19560619.1353310,"JPL 10",Y,5.,11.5,,,,,69.5183499778236,.477199,.2554,15.0,10.0
"   14P/Wolf",55880,2.728800509097144,.357453296269419,27.94263968532118,159.1964068959347,202.1079779976616,20090227.6070988,"JPL K174/9",,15.7,,4.66,,,9.02,8.75203072040838,1.74344,.00016528,4.5,
"   15P/Finlay",56734,.9756993763602596,.7202222192778053,6.799397865022541,347.5535723155552,13.78902016837436,20141227.0534081,"JPL K213/5",Y,14.8,,,,,,6.51272007447764,.00879894,9.6462E-5,9.25,
"   16P/Brooks 2",57111,1.46671433774411,.5630632502431984,4.259482438591073,219.7163700336009,159.2908192554265,20140607.6649986,"JPL K212/2",,12.1,15.6,,,,,6.15033324268974,.472329,.0011926,13.5,5.
"   17P/Holmes",57133,2.057288272361748,.4317142981081037,19.09187459595455,24.55215944153677,326.7637494976957,20140327.5562813,"JPL K212/17",,9.1,13.8,3.42,,,,6.88812205235246,1.06217,.00027693,15.25,5.
"   19P/Borrelly",55731,1.351291598610115,.6252115138544034,30.35660507935723,353.3622213304643,75.39518918306582,20080722.8950839,"JPL K223/4",,8.5,13.9,4.8,,0.022,,6.84624531092933,.369401,.00018074,18.25,5.
"   21P/Giacobini-Zinner",58063,1.013493750730936,.7104667848114644,32.00303376160798,172.8091596458073,195.4051449504903,20180910.2654693,"JPL K182/14",Y,13.1,,2.0,,,,6.54925990138296,.0178922,.00015311,8.5,
"   22P/Kopff",56055,1.575208513283572,.5443365464933816,4.724805363156379,162.671600989941,120.8695673372387,20090524.6990173,"JPL K223/10",,11.5,,3.0,,0.05,,6.42760206544804,.559598,9.4689E-5,9.75,
"   23P/Brorsen-Metcalf",47800,0.4787527107248574775866,0.9719522579248509597249,19.333940469818628571374,129.6106836788667,311.5854622141069,19890911.9374331,"JPL 13",Y,7.8,14.,,,,,70.5225834969236,.193872,.94939,8.0,5.0
"   24P/Schaumasse",57350,1.20616902407146,.7048377385790582,11.73397999992298,58.00232148852397,79.66577775476655,20171116.7608171,"JPL K173/9",Y,12.0,15.6,2.6,,,,8.26093519448952,.283142,.01898,16.,5.
"   26P/Grigg-Skjellerup",54326,1.116736323909562,.6330527671345312,22.35649066304651,1.704070781269587,211.710319637668,20080323.6790246,"JPL K1810/3",Y,15.1,18.1,2.6,,,,5.30919578072805,.110412,4.617E-5,14.,5.
"   27P/Crommelin",56364,.748287467144728,.9189810923126022,28.96687278723059,196.0253968913816,250.6264098390235,20110803.8910902,"JPL K113/4",Y,12.8,16.3,,,,,28.0692839516353,.215189,37.729,28.,5.
"   28P/Neujmin 1",55632,1.561444294065856,.774395975295462,14.38677745727602,347.7379075231466,346.3066493626623,20021228.3998050,"JPL 49",,13.2,,21.4,,0.025,,18.2086471502384,.554611,6.2493E-5,4.5,
"   29P/Schwassmann-Wachmann 1",55910,5.731387187319426,.04423203734325496,9.380789899698266,50.33344813771316,312.586108421396,20190405.3357526,"JPL K192/45",,8.6,,60.4,,0.033,,14.6848367089631,4.73679,5.0644E-5,4.5,
"   30P/Reinmuth 1",56183,1.880973739593776,.5016105669476711,8.126270446090473,13.14619850371807,119.7278627210677,20100419.7656489,"JPL K172/8",,13.6,,7.8,,,,7.33211152543363,.895216,.00013964,7.,
"   31P/Schwassmann-Wachmann 2",55554,3.424313358172445,.1929518908135903,4.546486710364198,17.93006801410605,114.1876326212957,20100929.4572107,"JPL K193/22",,7.2,14.0,6.2,,,,8.74015864617154,2.43939,6.2788E-5,17.5,5.
"   32P/Comas Sola",55353,2.008565194966582,.5546485799036236,9.968516517217138,53.30658848884395,57.84360276824752,20141019.7008873,"JPL K142/1",,11.0,13.4,8.4,,,,9.57817657976511,1.04298,.00025573,9.,5.
"   33P/Daniel",55481,2.166723120715797,.4623600611807658,22.3861472280879,18.90526683076218,66.54082976573451,20080720.4109071,"JPL K163/7",,15.2,,2.6,,,,8.0905127047404,1.19213,.00035361,4.5,
"   35P/Herschel-Rigollet",29480,0.74849,0.97405,64.207,29.298,355.980,19390809.4640000,SAO/1939,Y,8.3,,,,,,155,,,10,
"   36P/Whipple",54496,3.089787307315115,.2581018329884116,9.934959712092994,202.0044421729328,182.3895973047033,20120102.2078434,"JPL 18",,11.3,14.4,4.56,,,,8.49932883704201,2.0957,4.6299E-5,11.75,5.
"   37P/Forbes",57840,1.608855680101205,.5344761599834154,8.962054270441827,330.0004370065654,314.6395769323095,20180504.1473495,"JPL K182/10",,11.5,15.4,1.92,,,,6.42496763862595,.598762,.00049352,16.25,5.
"   38P/Stephan-Oterma",58262,1.588505048173736,.859286285876197,18.3529465228447,359.5886765534911,78.00036419278668,20181110.9873435,"JPL 22",,11.5,13.4,,,,,37.9303160767358,.604127,5.0925E-5,9.5,5.
"   39P/Oterma",42711,5.453033856983636,.2436393769380302,1.950747562018238,56.12275197362448,332.1180878201394,19830617.9502329,"JPL 17",,7.0,13.6,,,,,19.358518912425,4.45801,.00038595,14.75,5.
"   40P/Vaisala 1",57262,1.819771156172117,.6316152020645802,11.49264281940788,47.28885502172881,133.8401678570807,20141115.8423501,"JPL K148/7",,11.7,14.8,4.2,,,,10.9794558818843,.847879,6.3012E-5,13.,5.
"   41P/Tuttle-Giacobini-Kresak",57844,1.0450427369138,.6612506884287184,9.229131696230207,62.15858521740492,141.066286210229,20170412.7522549,"JPL K171/18",Y,15.3,,1.4,,,,5.41865682628637,.133597,.0032727,17.,
"   42P/Neujmin 3",57380,2.027755196838527,.5841747519155726,3.984591946246174,147.120393793131,150.279966816504,20150408.2095539,"JPL K155/2",,13.2,16.4,2.2,,,,10.7687477482499,1.01462,.00065075,15.,5.
"   43P/Wolf-Harrington",56756,1.357094479295572,.5949096247356784,15.97248249331635,191.5591866853453,249.8663360818902,20160819.4179840,"JPL K162/6",,8.6,13.9,3.6,,,,6.13190532556299,.375803,.00021864,17.,5.
"   44P/Reinmuth 2",56514,2.117340647263704,.4267308995200987,5.895470068273555,58.33556307157289,286.4715288320675,20150324.1832717,"JPL K223/4",,13.6,,3.22,,,,7.09833520250763,1.1165,.00027706,6.25,
"   45P/Honda-Mrkos-Pajdusakova",57798,.5325129824904962,.8239728740011473,4.248165440352516,326.2819404679929,88.9817832531519,20161231.2657473,"JPL K161/12",Y,15.1,,1.6,,,,5.26179719529213,.0602751,.0021651,24.75,
